Width,Curve Length,Depth
75.0,78.298699,9.77706
75.0,78.553604,10.159478
75.0,78.80851,10.529631
75.0,79.063416,10.888769
75.0,79.318323,11.237949
75.0,79.573231,11.578072
75.0,79.82814,11.909912
75.0,80.08305,12.234144
75.0,80.33796,12.551357
75.0,80.59287,12.862071
75.0,80.847782,13.166744
75.0,81.102694,13.465788
75.0,81.357606,13.759568
75.0,81.61252,14.048415
75.0,81.867434,14.332628
75.0,82.122348,14.612475
75.0,82.377263,14.888203
75.0,82.632179,15.160038
75.0,82.887096,15.428183
75.0,83.142013,15.692829
75.0,83.39693,15.954149
75.0,83.651848,16.212305
75.0,83.906767,16.467444
75.0,84.161686,16.719704
75.0,84.416606,16.969214
75.0,84.671526,17.216094
75.0,84.926447,17.460454
75.0,85.181368,17.702399
75.0,85.43629,17.942027
75.0,85.691212,18.179428
75.0,85.946135,18.414689
75.0,86.201059,18.647892
75.0,86.455982,18.879111
75.0,86.710907,19.108419
75.0,86.965831,19.335883
75.0,87.220757,19.561569
75.0,87.475683,19.785536
75.0,87.730609,20.007843
75.0,87.985535,20.228543
75.0,88.240462,20.447689
75.0,88.49539,20.66533
75.0,88.750318,20.881513
75.0,89.005246,21.096283
75.0,89.260175,21.309683
75.0,89.515105,21.521752
75.0,89.770034,21.73253
75.0,90.024964,21.942055
75.0,90.279895,22.15036
75.0,90.534826,22.357482
75.0,90.789757,22.563451
75.0,91.044689,22.768299
75.0,91.299621,22.972056
75.0,91.554554,23.174751
75.0,91.809487,23.376412
75.0,92.06442,23.577064
75.0,92.319353,23.776733
75.0,92.574288,23.975443
75.0,92.829222,24.173219
75.0,93.084157,24.370083
75.0,93.339092,24.566056
75.0,93.594027,24.761161
75.0,93.848963,24.955416
75.0,94.103899,25.148842
75.0,94.358836,25.341457
75.0,94.613773,25.53328
75.0,94.86871,25.724329
75.0,95.123647,25.91462
75.0,95.378585,26.10417
75.0,95.633523,26.292995
75.0,95.888462,26.481111
75.0,96.143401,26.668532
75.0,96.39834,26.855272
75.0,96.653279,27.041347
75.0,96.908219,27.226769
75.0,97.163159,27.411551
75.0,97.418099,27.595707
75.0,97.67304,27.779249
75.0,97.927981,27.962188
75.0,98.182922,28.144537
75.0,98.437864,28.326307
75.0,98.692806,28.507509
75.0,98.947748,28.688153
75.0,99.20269,28.86825
75.0,99.457633,29.04781
75.0,99.712576,29.226842
75.0,99.967519,29.405358
75.0,100.222463,29.583365
75.0,100.477407,29.760873
75.0,100.732351,29.93789
75.0,100.987295,30.114426
75.0,101.24224,30.290489
50,50,0
50,50.499794,3.071285
50,50.669726,3.559469
50,50.839658,3.990238
50,51.00959,4.380564
50,51.179523,4.740447
50,51.349457,5.076365
50,51.519391,5.392798
50,51.689325,5.692996
50,51.859261,5.979404
50,52.029196,6.253918
50,52.199132,6.51804
50,52.369069,6.772985
50,52.539006,7.019754
50,52.708944,7.25918
50,52.878882,7.491966
50,53.048821,7.718714
50,53.21876,7.939941
50,53.3887,8.156096
50,53.55864,8.367571
50,53.72858,8.574714
50,53.898521,8.777829
50,54.068463,8.977192
50,54.238404,9.173045
50,54.408347,9.36561
50,54.578289,9.555085
50,54.748232,9.74165
50,54.918176,9.925469
50,55.088119,10.106692
50,55.258064,10.285456
50,55.428008,10.461886
50,55.597953,10.6361
50,55.767899,10.808203
50,55.937845,10.978296
50,56.107791,11.146469
50,56.277737,11.31281
50,56.447684,11.477396
50,56.617631,11.640303
50,56.787579,11.801599
50,56.957527,11.961351
50,57.127475,12.119619
50,57.297423,12.27646
50,57.467372,12.431928
50,57.637322,12.586074
50,57.807271,12.738946
50,57.977221,12.890589
50,58.147171,13.041046
50,58.317122,13.190357
50,58.487072,13.338562
50,58.657024,13.485695
50,58.826975,13.631793
50,58.996927,13.776887
50,59.166879,13.921009
50,59.336831,14.064189
50,59.506784,14.206455
50,59.676736,14.347835
50,59.84669,14.488354
50,60.016643,14.628036
50,60.186597,14.766907
50,60.356551,14.904988
50,60.526505,15.0423
50,60.696459,15.178866
50,60.866414,15.314704
50,61.036369,15.449834
50,61.206324,15.584274
50,61.37628,15.718042
50,61.546236,15.851155
50,61.716192,15.983629
50,61.886148,16.115479
50,62.056104,16.246722
50,62.226061,16.377371
50,62.396018,16.50744
50,62.565975,16.636944
50,62.735933,16.765894
50,62.90589,16.894305
50,63.075848,17.022187
50,63.245807,17.149553
50,63.415765,17.276413
50,63.585723,17.40278
50,63.755682,17.528664
50,63.925641,17.654074
50,64.0956,17.779021
50,64.26556,17.903515
50,64.435519,18.027565
50,64.605479,18.151179
50,64.775439,18.274368
50,64.9454,18.397138
50,65.11536,18.519499
50,65.285321,18.641459
50,65.455282,18.763025
50,65.625243,18.884205
50,65.795204,19.005006
50,65.965165,19.125435
50,66.135127,19.2455
50,66.305089,19.365206
50,66.475051,19.484562
50,66.645013,19.603572
50,66.814975,19.722243
50,66.984938,19.840582
50,67.154901,19.958594
50,67.324863,20.076284
50,67.494826,20.193659
50,50.004998,0.306069
50,50.022486,0.649279
50,50.039973,0.865799
50,50.057461,1.038178
50,50.074949,1.185824
50,50.092437,1.317083
50,50.109924,1.436452
50,50.127412,1.546687
50,50.1449,1.649621
50,50.162388,1.746545
50,50.179875,1.83841
50,50.197363,1.925939
50,50.214851,2.0097
50,50.232339,2.090144
50,50.249827,2.167643
50,50.267314,2.242501
50,50.284802,2.314974
50,50.30229,2.385279
50,50.319778,2.453604
50,50.337266,2.520109
50,50.354754,2.584934
50,50.372241,2.648203
50,50.389729,2.710025
50,50.407217,2.770497
50,50.424705,2.829706
50,50.442193,2.887728
50,50.459681,2.944635
50,50.477169,3.000489
50,50.494657,3.055348
50,50.512144,3.109266
50,50.529632,3.16229
50,50.54712,3.214464
50,50.564608,3.265829
50,50.582096,3.316424
50,50.599584,3.366281
50,50.617072,3.415435
50,50.63456,3.463914
50,50.652048,3.511747
50,50.669536,3.558959
50,50.687024,3.605576
50,50.704512,3.651619
50,50.722,3.697111
50,50.739488,3.742072
50,50.756976,3.78652
50,50.774464,3.830472
50,50.791952,3.873947
50,50.80944,3.916961
50,50.826928,3.959527
50,50.844416,4.00166
50,50.861904,4.043374
50,50.879392,4.084682
50,50.89688,4.125596
50,50.914368,4.166127
50,50.931856,4.206287
50,50.949344,4.246085
50,50.966832,4.285533
50,50.98432,4.32464
50,51.001808,4.363415
50,51.019296,4.401866
50,51.036784,4.440002
50,51.054272,4.477832
50,51.07176,4.515362
50,51.089249,4.552601
50,51.106737,4.589555
50,51.124225,4.626231
50,51.141713,4.662636
50,51.159201,4.698775
50,51.176689,4.734656
50,51.194177,4.770284
50,51.211665,4.805665
50,51.229154,4.840803
50,51.246642,4.875705
50,51.26413,4.910375
50,51.281618,4.944818
50,51.299106,4.979039
50,51.316594,5.013042
50,51.334083,5.046832
50,51.351571,5.080413
50,51.369059,5.11379
50,51.386547,5.146965
50,51.404035,5.179944
50,51.421524,5.212729
50,51.439012,5.245325
50,51.4565,5.277734
50,51.473988,5.309961
50,51.491476,5.342008
50,51.508965,5.37388
50,51.526453,5.405578
50,51.543941,5.437106
50,51.561429,5.468467
50,51.578918,5.499664
50,51.596406,5.530699
50,51.613894,5.561575
50,51.631383,5.592296
50,51.648871,5.622863
50,51.666359,5.653278
50,51.683847,5.683545
50,51.701336,5.713666
50,51.718824,5.743643
50,51.736312,5.773478
50,51.753801,5.803173
50,51.771289,5.832731
50,51.788777,5.862154
50,51.806266,5.891443
50,51.823754,5.920601
50,51.841242,5.94963
50,51.858731,5.978531
50,51.876219,6.007306
50,51.893707,6.035958
50,51.911196,6.064487
50,51.928684,6.092896
50,51.946173,6.121186
50,51.963661,6.149359
50,51.981149,6.177416
50,51.998638,6.20536
50,52.016126,6.233191
50,52.033615,6.260911
50,52.051103,6.288522
50,52.068591,6.316025
50,52.08608,6.343421
50,52.103568,6.370712
50,52.121057,6.397899
50,52.138545,6.424983
50,52.156034,6.451966
50,52.173522,6.478849
50,52.19101,6.505634
50,52.208499,6.532321
50,52.225987,6.558911
50,52.243476,6.585407
50,52.260964,6.611808
50,52.278453,6.638116
50,52.295941,6.664333
50,52.31343,6.690458
50,52.330918,6.716494
50,52.348407,6.742442
50,52.365895,6.768301
50,52.383384,6.794075
50,52.400872,6.819762
50,52.418361,6.845365
50,52.435849,6.870884
50,52.453338,6.89632
50,52.470827,6.921674
50,52.488315,6.946948
50,52.505804,6.972141
50,52.523292,6.997255
50,52.540781,7.02229
50,52.558269,7.047248
50,52.575758,7.072129
50,52.593246,7.096935
50,52.610735,7.121665
50,52.628224,7.146321
50,52.645712,7.170903
50,52.663201,7.195412
50,52.680689,7.219849
50,52.698178,7.244215
50,52.715667,7.26851
50,52.733155,7.292735
50,52.750644,7.316891
50,52.768133,7.340979
50,52.785621,7.364998
50,52.80311,7.38895
50,52.820598,7.412836
50,52.838087,7.436656
50,52.855576,7.46041
50,52.873064,7.4841
50,52.890553,7.507725
50,52.908042,7.531287
50,52.92553,7.554787
50,52.943019,7.578224
50,52.960508,7.601599
50,52.977996,7.624913
50,52.995485,7.648166
50,53.012974,7.67136
50,53.030463,7.694494
50,53.047951,7.717569
50,53.06544,7.740585
50,53.082929,7.763544
50,53.100417,7.786445
50,53.117906,7.809289
50,53.135395,7.832077
50,53.152884,7.854809
50,53.170372,7.877485
50,53.187861,7.900107
50,53.20535,7.922674
50,53.222839,7.945187
50,53.240327,7.967646
50,53.257816,7.990053
50,53.275305,8.012406
50,53.292794,8.034708
50,53.310282,8.056957
50,53.327771,8.079156
50,53.34526,8.101303
50,53.362749,8.1234
50,53.380238,8.145447
50,53.397726,8.167444
50,53.415215,8.189391
50,53.432704,8.21129
50,53.450193,8.23314
50,53.467682,8.254942
50,53.485171,8.276697
50,53.502659,8.298404
50,53.520148,8.320064
50,53.537637,8.341677
50,53.555126,8.363244
50,53.572615,8.384765
50,53.590104,8.40624
50,53.607593,8.427671
50,53.625081,8.449056
50,53.64257,8.470397
50,53.660059,8.491694
50,53.677548,8.512946
50,53.695037,8.534156
50,53.712526,8.555322
50,53.730015,8.576445
50,53.747504,8.597525
50,53.764993,8.618563
50,53.782481,8.63956
50,53.79997,8.660514
50,53.817459,8.681427
50,53.834948,8.7023
50,53.852437,8.723131
50,53.869926,8.743922
50,53.887415,8.764673
50,53.904904,8.785384
50,53.922393,8.806055
50,53.939882,8.826687
50,53.957371,8.847279
50,53.97486,8.867833
50,53.992349,8.888349
50,54.009838,8.908826
50,54.027327,8.929265
50,54.044816,8.949667
50,54.062305,8.970031
50,54.079794,8.990357
50,54.097283,9.010647
50,54.114772,9.0309
50,54.132261,9.051117
50,54.14975,9.071297
50,54.167239,9.091441
50,54.184728,9.11155
50,54.202217,9.131623
50,54.219706,9.151661
50,54.237195,9.171663
50,54.254684,9.191631
50,54.272173,9.211564
50,54.289662,9.231463
50,54.307151,9.251328
50,54.32464,9.271159
50,54.342129,9.290956
50,54.359618,9.310719
50,54.377107,9.33045
50,54.394596,9.350147
50,54.412085,9.369811
50,54.429574,9.389443
50,54.447063,9.409042
50,54.464553,9.428609
50,54.482042,9.448144
50,54.499531,9.467647
50,54.51702,9.487118
50,54.534509,9.506558
50,54.551998,9.525967
50,54.569487,9.545344
50,54.586976,9.564691
50,54.604465,9.584007
50,54.621954,9.603292
50,54.639444,9.622547
50,54.656933,9.641772
50,54.674422,9.660967
50,54.691911,9.680132
50,54.7094,9.699268
50,54.726889,9.718374
50,54.744378,9.73745
50,54.761868,9.756498
50,54.779357,9.775517
50,54.796846,9.794507
50,54.814335,9.813468
50,54.831824,9.832401
50,54.849314,9.851305
50,54.866803,9.870182
50,54.884292,9.889031
50,54.901781,9.907851
50,54.91927,9.926644
50,54.936759,9.94541
50,54.954249,9.964148
50,54.971738,9.98286
50,54.989227,10.001544
50,55.006716,10.020201
50,55.024206,10.038832
50,55.041695,10.057436
50,55.059184,10.076013
50,55.076673,10.094565
50,55.094162,10.11309
50,55.111652,10.131589
50,55.129141,10.150062
50,55.14663,10.16851
50,55.16412,10.186932
50,55.181609,10.205329
50,55.199098,10.2237
50,55.216587,10.242047
50,55.234077,10.260368
50,55.251566,10.278664
50,55.269055,10.296936
50,55.286544,10.315183
50,55.304034,10.333405
50,55.321523,10.351603
50,55.339012,10.369777
50,55.356502,10.387927
50,55.373991,10.406053
50,55.39148,10.424155
50,55.40897,10.442233
50,55.426459,10.460288
50,55.443948,10.478319
50,55.461438,10.496327
50,55.478927,10.514311
50,55.496416,10.532273
50,55.513906,10.550211
50,55.531395,10.568127
50,55.548884,10.586019
50,55.566374,10.603889
50,55.583863,10.621737
50,55.601352,10.639562
50,55.618842,10.657365
50,55.636331,10.675145
50,55.65382,10.692904
50,55.67131,10.71064
50,55.688799,10.728355
50,55.706289,10.746048
50,55.723778,10.763719
50,55.741267,10.781369
50,55.758757,10.798997
50,55.776246,10.816604
50,55.793735,10.834189
50,55.811225,10.851754
50,55.828714,10.869297
50,55.846204,10.88682
50,55.863693,10.904322
50,55.881183,10.921802
50,55.898672,10.939263
50,55.916161,10.956703
50,55.933651,10.974122
50,55.95114,10.991521
50,55.96863,11.0089
50,55.986119,11.026258
50,56.003609,11.043597
50,56.021098,11.060915
50,56.038588,11.078214
50,56.056077,11.095493
50,56.073566,11.112752
50,56.091056,11.129992
50,56.108545,11.147212
50,56.126035,11.164413
50,56.143524,11.181594
50,56.161014,11.198756
50,56.178503,11.2159
50,56.195993,11.233024
50,56.213482,11.250129
50,56.230972,11.267215
50,56.248461,11.284282
